trajectory_Id,half,total_active_time,total_inactive_time
283,first,10.279,0.0
283,second,0.0,9.15
284,first,10.008000000000001,5.46
284,second,0.0,16.686
285,first,9.913,3.3000000000000003
285,second,0.0,14.221
286,first,20.012,30.076
286,second,9.567,40.993
287,first,9.968,9.951
287,second,11.246,8.006
288,first,9.879000000000001,13.24
288,second,0.0,24.015
289,first,13.647,1.207
289,second,0.0,16.754
291,first,10.424,1.985
291,second,0.0,13.540000000000001
293,first,18.533,25.473
293,second,11.327,31.87
294,first,9.825,19.898
294,second,9.871,18.869
295,first,10.141,32.919000000000004
295,second,0.0,44.251
296,first,10.26,25.915
296,second,0.0,37.844
298,first,10.14,0.233
298,second,0.0,11.526
299,first,10.093,5.5600000000000005
299,second,0.0,16.709
300,first,9.626,20.768
300,second,0.0,31.218
301,first,9.866,18.801000000000002
301,second,9.882,15.825000000000001
303,first,10.167,14.545
303,second,6.9510000000000005,14.089
304,first,9.654,22.552
304,second,8.248000000000001,23.323
305,first,9.813,4.774
305,second,0.0,15.542
306,first,25.868000000000002,23.247
306,second,18.504,30.285
312,first,22.807000000000002,0.605
312,second,2.034,24.718
313,first,10.154,29.654
313,second,10.048,29.203000000000003
315,first,12.921000000000001,4.0120000000000005
315,second,0.0,18.95
320,first,10.078,16.343
320,second,0.0,27.581
321,first,13.931000000000001,6.603
321,second,0.0,23.325
325,first,53.584,1.755
325,second,48.546,2.377
326,first,28.494,0.0
326,second,22.424,5.104
328,first,46.409,1.496
328,second,26.981,18.496
329,first,54.042,10.481
329,second,55.277,5.811
330,first,40.131,39.59
330,second,66.179,6.63
331,first,37.537,3.907
331,second,9.828000000000001,22.731
332,first,15.649000000000001,4.429
332,second,0.0,24.441000000000003
337,first,24.127,4.224
337,second,0.507,32.822
338,first,23.063,13.174
338,second,20.088,18.25
339,first,50.358000000000004,27.61
339,second,27.48,56.773
343,first,19.588,5.283
343,second,9.790000000000001,16.107
344,first,10.025,2.266
344,second,0.0,13.921000000000001
345,first,36.401,23.346
345,second,36.992,24.206
346,first,51.993,17.754
346,second,6.872,75.046
347,first,26.448,85.41
347,second,43.915,68.64500000000001
348,first,54.67,58.619
348,second,29.5,89.302
349,first,10.127,26.639
349,second,9.912,26.117
350,first,36.677,34.861000000000004
350,second,33.533,40.584
351,first,9.821,21.141000000000002
351,second,0.0,32.381
352,first,29.538,14.745000000000001
352,second,25.482,18.057000000000002
353,first,20.192,60.946
353,second,0.0,65.524
354,first,20.042,4.132000000000001
354,second,0.0,19.47
355,first,6.25,0.0
355,second,4.140000000000001,2.132
357,first,19.578,21.229
357,second,10.16,33.364
358,first,9.644,0.0
358,second,2.561,7.5440000000000005
360,first,14.145000000000001,15.596
360,second,19.425,8.189
364,first,12.027,7.04
364,second,19.078,0.8430000000000001
365,first,23.341,20.998
365,second,29.825000000000003,12.637
366,first,28.104000000000003,5.817
366,second,26.728,7.335
367,first,60.233000000000004,2.399
367,second,28.951,39.814
368,first,19.027,5.7540000000000004
368,second,0.0,27.753
369,first,20.321,39.499
369,second,12.653,47.235
370,first,33.713,14.137
370,second,9.624,42.538000000000004
371,first,10.334,23.443
371,second,11.283,20.374
372,first,29.924,12.349
372,second,10.232000000000001,39.195
373,first,20.321,19.914
373,second,9.567,30.917
374,first,12.813,53.476
374,second,9.781,55.034
375,first,29.740000000000002,0.0
375,second,30.151,0.0
376,first,22.439,17.419
376,second,4.277,40.459
377,first,11.734,12.92
377,second,0.0,26.524
378,first,15.078000000000001,29.155
378,second,9.862,35.034
380,first,11.957,21.768
380,second,0.0,36.593
381,first,11.707,14.13
381,second,0.0,28.639
383,first,9.497,0.0
383,second,0.0,9.203
384,first,18.176000000000002,0.0
384,second,12.581,10.077
386,first,0.917,0.0
386,second,1.5050000000000001,0.0
387,first,33.103,11.649000000000001
387,second,10.733,45.984
388,first,38.503,25.575
388,second,39.25,24.777
389,first,34.498,10.607
389,second,1.036,50.155
390,first,10.055,46.35
390,second,0.0,57.938
391,first,10.424,14.126
391,second,0.0,25.447
392,first,32.144,37.821
392,second,20.087,58.1
393,first,48.096000000000004,22.048000000000002
393,second,36.392,37.729
394,first,35.141,7.4350000000000005
394,second,18.094,33.578
395,first,1.965,0.0
395,second,2.982,0.0
396,first,10.006,8.117
396,second,0.0,19.156000000000002
397,first,9.631,18.217000000000002
397,second,0.0,28.771
399,first,1.3,0.0
399,second,2.462,0.0
400,first,25.02,10.055
400,second,27.498,5.832
401,first,29.718,13.668000000000001
401,second,37.685,4.292
402,first,10.576,4.623
402,second,15.989,0.0
403,first,7.319,0.0
403,second,3.087,3.541
404,first,39.749,7.424
404,second,30.2,20.533
405,first,22.754,3.303
405,second,16.224,11.287
406,first,9.84,0.0
406,second,4.243,5.232
407,first,6.527,0.0
407,second,3.092,2.211
408,first,23.496,11.502
408,second,27.703000000000003,7.17
409,first,9.940000000000001,4.017
409,second,0.0,13.948
410,first,43.274,12.975000000000001
410,second,44.004000000000005,9.137
411,first,19.619,0.736
411,second,16.845,1.469
412,first,9.591000000000001,8.084
412,second,0.0,18.039
413,first,20.469,15.083
413,second,22.066000000000003,13.429
414,first,32.533,12.327
414,second,26.648,19.904
415,first,49.073,60.625
415,second,35.249,75.24600000000001
416,first,15.644,1.405
416,second,7.1930000000000005,9.063
417,first,42.247,3.856
417,second,38.211,14.347000000000001
418,first,13.736,8.412
418,second,18.455000000000002,4.299
420,first,19.575,27.481
420,second,0.0,48.879
421,first,17.034,2.091
421,second,6.599,16.107
422,first,23.621000000000002,2.938
422,second,4.094,29.013
424,first,28.700000000000003,2.61
424,second,22.124000000000002,15.396
426,first,11.906,7.995
426,second,0.0,22.143
428,first,40.46,1.677
428,second,41.779,3.5380000000000003
429,first,41.523,13.234
429,second,39.528,18.138
430,first,36.282000000000004,9.086
430,second,33.588,10.551
431,first,30.002000000000002,5.107
431,second,25.236,12.885
432,first,14.309000000000001,4.5600000000000005
432,second,16.73,2.999
433,first,37.871,11.102
433,second,23.124000000000002,27.127
435,first,42.813,48.688
435,second,42.800000000000004,45.716
436,first,20.428,36.454
436,second,19.830000000000002,34.638
440,first,49.236000000000004,81.754
440,second,50.433,77.592
441,first,22.665000000000003,17.094
441,second,0.0,44.551
443,first,12.598,1.4020000000000001
443,second,7.513000000000001,8.531
444,first,12.382,0.0
444,second,0.0,13.927
445,first,38.429,37.841
445,second,22.380000000000003,56.959
447,first,22.182000000000002,5.797000000000001
447,second,20.501,8.609
448,first,53.410000000000004,4.854
448,second,55.145,3.66
449,first,60.432,6.062
449,second,61.704,5.311
450,first,24.405,0.761
450,second,24.615000000000002,0.783
451,first,56.332,7.965
451,second,51.64,11.201
452,first,73.555,24.402
452,second,93.21600000000001,5.7170000000000005
453,first,74.345,6.968
453,second,75.183,6.202
454,first,29.595,1.979
454,second,27.696,6.890000000000001
455,first,9.879,0.0
455,second,6.98,2.237
456,first,59.986000000000004,3.569
456,second,46.370000000000005,21.088
457,first,32.148,3.2960000000000003
457,second,29.55,6.738
458,first,65.85300000000001,5.366
458,second,68.057,8.047
459,first,160.761,13.327
459,second,157.762,18.153000000000002
460,first,38.338,3.1470000000000002
460,second,38.257,1.891
461,first,37.121,2.481
461,second,33.52,4.849
462,first,113.589,30.322000000000003
462,second,109.521,30.87
463,first,69.069,16.418
463,second,72.38900000000001,12.766
464,first,9.909,1.522
464,second,0.0,13.005
465,first,30.727,19.328
465,second,20.548000000000002,31.630000000000003
466,first,10.333,19.469
466,second,0.0,29.846
467,first,18.571,15.870000000000001
467,second,11.688,22.7
468,first,20.372,25.704
468,second,15.046000000000001,36.234
469,first,19.577,0.387
469,second,1.022,20.309
470,first,11.504,20.34
470,second,20.538,9.767000000000001
472,first,19.942,18.912000000000003
472,second,28.856,8.955
474,first,20.296,16.309
474,second,10.203000000000001,27.233
479,first,18.778000000000002,17.637
479,second,11.984,23.71
480,first,19.932000000000002,3.433
480,second,14.123000000000001,8.776
481,first,19.821,4.099
481,second,19.696,3.1470000000000002
484,first,20.484,25.698
484,second,29.164,14.785
485,first,10.172,21.947
485,second,9.736,21.468
487,first,10.013,25.373
487,second,0.0,35.788000000000004
488,first,19.705000000000002,22.953
488,second,28.279,12.715
489,first,15.689,24.601
489,second,10.016,32.056000000000004
490,first,19.383000000000003,6.322
490,second,0.0,29.799
491,first,19.257,5.857
491,second,10.504,13.913
492,first,24.595000000000002,1.21
492,second,14.088000000000001,13.716000000000001
494,first,8.803,0.0
494,second,6.656000000000001,1.1320000000000001
495,first,10.061,11.06
495,second,0.0,21.947
496,first,23.592000000000002,25.189
496,second,35.307,11.712
497,first,11.426,33.651
497,second,0.0,47.692
498,first,22.081,0.9850000000000001
498,second,10.478,17.523
499,first,19.854,30.315
499,second,14.865,37.766
500,first,31.14,33.62
500,second,10.076,57.685
501,first,19.686,19.612000000000002
501,second,0.0,42.234
502,first,9.791,7.775
502,second,0.0,18.685
503,first,10.32,1.518
503,second,0.0,12.493
504,first,34.212,12.356000000000002
504,second,0.0,53.586000000000006
505,first,23.740000000000002,29.153000000000002
505,second,0.0,59.251000000000005
506,first,24.173000000000002,21.461000000000002
506,second,9.849,39.738
507,first,10.274000000000001,5.038
507,second,0.0,16.123
508,first,10.285,31.775000000000002
508,second,0.0,41.584
509,first,34.848,40.659
509,second,0.0,84.31
510,first,32.675000000000004,22.788
510,second,19.396,40.302
511,first,10.327,19.397000000000002
511,second,0.0,31.163
512,first,9.959,5.51
512,second,0.0,16.874
514,first,10.088000000000001,13.693
514,second,0.0,24.240000000000002
516,first,19.929000000000002,24.740000000000002
516,second,0.0,47.172000000000004
517,first,12.128,7.384
517,second,11.17,9.457
522,first,9.973,4.871
522,second,0.0,15.833
528,first,9.926,11.252
528,second,0.0,22.166
530,first,4.422,0.0
530,second,4.8420000000000005,0.0
531,first,10.023,20.107
531,second,0.0,32.133
532,first,15.615,21.483
532,second,6.808,33.807
533,first,10.261,6.013
533,second,0.0,17.987000000000002
535,first,10.319,23.584
535,second,11.519,20.552
536,first,41.01,1.321
536,second,43.729,0.994
537,first,77.285,9.91
537,second,66.92,21.262
538,first,12.182,3.5500000000000003
538,second,12.103,6.353000000000001
539,first,21.519000000000002,6.422000000000001
539,second,21.2,5.898000000000001
540,first,20.177,38.797000000000004
540,second,20.449,36.808
541,first,9.729000000000001,25.404
541,second,0.0,35.916000000000004
542,first,7.215000000000001,0.0
542,second,2.6020000000000003,3.5010000000000003
543,first,9.918000000000001,13.435
543,second,0.0,24.784000000000002
544,first,21.133,3.292
544,second,18.732,6.971
545,first,43.423,6.801
545,second,45.502,8.582
546,first,10.236,0.78
546,second,10.764,0.506
547,first,10.33,3.458
547,second,9.758000000000001,5.36
548,first,41.663000000000004,2.568
548,second,30.875,13.693
549,first,26.644000000000002,2.839
549,second,23.106,8.786
552,first,29.827,9.793
552,second,16.553,24.454
553,first,29.873,8.439
553,second,9.315,35.824000000000005
554,first,39.763000000000005,5.1240000000000006
554,second,31.331000000000003,16.014
555,first,10.328000000000001,23.829
555,second,9.699,21.55
556,first,38.525,1.088
556,second,27.557000000000002,21.158
557,first,31.174,1.12
557,second,20.202,18.27
558,first,25.208000000000002,0.853
558,second,11.007,16.332
559,first,33.138,9.571
559,second,9.813,38.562
560,first,14.926,1.288
560,second,16.386,0.937
564,first,3.994,0.0
564,second,4.107,0.0
565,first,10.129,9.13
565,second,7.364,11.924
566,first,9.651,0.571
566,second,0.0,11.327
569,first,9.896,10.802
569,second,8.036,13.63
570,first,9.809000000000001,22.220000000000002
570,second,20.332,9.334
571,first,9.883000000000001,0.744
571,second,0.0,11.608
573,first,30.946,33.861
573,second,50.18,11.243
575,first,19.48,7.8260000000000005
575,second,19.292,7.2620000000000005
576,first,10.292,5.081
576,second,0.0,16.991
577,first,21.995,15.734
577,second,0.0,43.221000000000004
578,first,11.616,25.201
578,second,0.0,37.605000000000004
579,first,9.59,5.763
579,second,0.0,16.453
580,first,29.336000000000002,9.353
580,second,16.288,23.883
581,first,11.695,5.944
581,second,0.0,18.72
583,first,10.061,21.994
583,second,0.0,33.433
584,first,20.638,25.936
584,second,15.191,28.683
585,first,14.984,22.098000000000003
585,second,9.777000000000001,30.823
586,first,10.136000000000001,11.256
586,second,0.0,21.878
587,first,16.215,9.726
587,second,6.165,22.098000000000003
588,first,9.818,75.11200000000001
588,second,9.85,74.141
