,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
615,40,4,1,0.73,83.3,4
616,40,4,2,0.39,263.63,8
617,40,4,3,0.13,39.3,1
618,40,4,4,0.02,53.21,1
620,41,1,1,0.11,224.35,3
621,41,1,2,0,213.75,1
622,41,1,3,0.08,82.88,2
623,41,1,4,0.29,249.39,2
625,41,2,1,0,299.18,3
626,41,2,2,0.07,138.99,2
627,41,2,3,0,66.32,1
628,41,2,4,0,44.26,1
630,41,3,1,0,179.05,3
631,41,3,2,0,194.21,2
632,41,3,3,1.1,190.13,2
633,41,3,4,1.79,49.8,1
635,41,4,1,2.14,186.88,1
636,41,4,2,0.56,344.43,3
637,41,4,3,1.77,256.54,2
638,41,4,4,0.36,157.49,1
640,42,1,1,0,69.12,1
641,42,1,2,0.47,166.34,1
642,42,1,3,0,118.88,1
643,42,1,4,2.75,171.88,2
645,42,2,1,0.03,239.42,2
646,42,2,2,0.08,79.67,2
647,42,2,3,0.16,141.55,2
648,42,2,4,0.07,116.53,1
650,42,3,1,0,141.02,2
651,42,3,2,0.3,113.32,1
652,42,3,3,0.03,67.5,1
653,42,3,4,0.01,163.18,2
655,42,4,1,0.15,171.44,2
656,42,4,2,0.98,283.1,3
657,42,4,3,0,196.58,1
658,42,4,4,0.97,160.87,2
660,43,1,1,4.01,118.84,1
661,43,1,2,14.59,597.87,5
662,43,1,3,13.64,22.58,0
663,43,1,4,1.25,100.94,1
665,43,2,1,0.39,214.7,2
666,43,2,2,0,90.48,1
667,43,2,3,3.99,180.99,1
668,43,2,4,14.8,172.01,2
670,43,3,1,8.3,203.77,3
671,43,3,2,0.76,219.9,7
672,43,3,3,0.7,59.69,1
673,43,3,4,0.02,107.56,4
675,43,4,1,0.57,246.77,4
676,43,4,2,12.04,157.2,1
677,43,4,3,12.46,23.44,1
678,43,4,4,6.1,91.85,1
680,44,1,1,0,76.91,4
681,44,1,2,0,252.92,7
682,44,1,3,0,41.61,1
683,44,1,4,0,56.56,2
685,44,2,1,0.24,246.32,6
686,44,2,2,5.46,163.3,4
687,44,2,3,0,123.87,5
688,44,2,4,0,157.79,5
690,44,3,1,0.77,144.99,4
691,44,3,2,0.5,182.62,4
692,44,3,3,0.1,205.38,6
693,44,3,4,1.14,169.59,2
695,44,4,1,0.89,142.43,3
696,44,4,2,0.22,131.03,2
697,44,4,3,0.16,80.41,3
698,44,4,4,0.12,137.1,3
700,45,1,1,0,66.68,2
701,45,1,2,0.54,167.21,4
702,45,1,3,0,214.57,1
703,45,1,4,0,258.82,2
705,45,2,1,518.4,21.53,0
706,45,2,2,4.49,90.83,1
707,45,2,3,19.72,60.91,1
708,45,2,4,61.5,68.25,2
710,45,3,1,104.49,49.3,1
711,45,3,2,13.52,109.82,1
712,45,3,3,411.47,137.36,2
713,45,3,4,34.81,58.62,1
715,45,4,1,47.76,117.28,1
716,45,4,2,7.22,319.81,7
717,45,4,3,52.99,119.6,2
718,45,4,4,25.25,140.19,3
720,46,1,1,0,76.53,1
721,46,1,2,0,189.12,2
722,46,1,3,0,180.88,1
723,46,1,4,0,79.42,1
725,46,2,1,0,192.57,3
726,46,2,2,0,74.01,1
727,46,2,3,0,203.27,2
728,46,2,4,0,153.32,1
730,46,3,1,1.14,194.86,3
731,46,3,2,0.02,161.88,2
732,46,3,3,0.08,58.22,1
733,46,3,4,0.11,113.2,2
735,46,4,1,1.07,247.57,2
736,46,4,2,0.97,470.18,5
737,46,4,3,0.05,206.74,2
738,46,4,4,0.91,168.27,2
740,47,1,1,0,115.21,3
741,47,1,2,0,133.43,2
742,47,1,3,0.45,259.72,6
743,47,1,4,0,150.89,3
745,47,2,1,0,264.86,8
746,47,2,2,0,185.34,5
747,47,2,3,0,68.1,2
748,47,2,4,0,98.65,2
750,47,3,1,3.71,143.52,4
751,47,3,2,0,209.12,6
752,47,3,3,0.02,202.44,5
753,47,3,4,0,45.04,1
755,47,4,1,1.86,127.34,4
756,47,4,2,0.03,130.44,3
757,47,4,3,0,94.1,2
758,47,4,4,0.01,137.13,4
760,48,1,1,0.05,213.32,1
761,48,1,2,0,312.15,1
762,48,1,3,0.03,88.64,1
763,48,1,4,0,158.87,1
765,48,2,1,0,259.39,3
766,48,2,2,0.15,525.55,1
767,48,2,3,0,167.16,1
768,48,2,4,0,172.96,2
770,48,3,1,0,156.23,2
771,48,3,2,0.16,112.8,3
772,48,3,3,0,68.43,1
773,48,3,4,0.98,277.26,3
775,48,4,1,0.32,62.85,1
776,48,4,2,0.4,370.47,2
777,48,4,3,0,43.42,1
778,48,4,4,2.96,173.53,2
780,49,1,1,0,143.08,3
781,49,1,2,0,126.64,2
782,49,1,3,0,249.03,2
783,49,1,4,0.76,148.32,1
785,49,2,1,0,196.93,2
786,49,2,2,0,75.42,1
787,49,2,3,0,252.13,1
788,49,2,4,0,170.59,1
790,49,3,1,0,146.21,1
791,49,3,2,0.13,276.1,2
792,49,3,3,0.1,78.91,1
793,49,3,4,0.52,191.17,4
795,49,4,1,0.24,186.69,1
796,49,4,2,0,132.48,1
797,49,4,3,0.05,101.61,2
798,49,4,4,229.74,0.51,0
800,50,1,1,0,80.21,1
801,50,1,2,0,192.83,3
802,50,1,3,0,190.73,3
803,50,1,4,0.31,235.34,3
805,50,2,1,0,303.63,7
806,50,2,2,0.72,212.57,2
807,50,2,3,0,164.09,2
808,50,2,4,0,168.79,1
810,50,3,1,0.62,144.62,1
811,50,3,2,0,185.67,1
812,50,3,3,0,206.1,2
813,50,3,4,2.29,49.88,1
815,50,4,1,74.94,51.55,1
816,50,4,2,0.04,126.63,2
817,50,4,3,0.03,95.25,1
818,50,4,4,0.01,139.3,1
820,51,1,1,0.06,199.17,2
821,51,1,2,0,239.12,1
822,51,1,3,0.01,85.96,1
823,51,1,4,1.43,247.45,2
825,51,2,1,0,365.96,3
826,51,2,2,1.08,387.65,4
827,51,2,3,2.56,212.29,1
828,51,2,4,0.18,321.49,2
830,51,3,1,2.74,482.56,8
831,51,3,2,0.54,250.04,1
832,51,3,3,0,71.33,1
833,51,3,4,0.42,365.6,7
835,51,4,1,1.44,118.35,1
836,51,4,2,0.58,87.91,1
837,51,4,3,0.05,322.98,3
838,51,4,4,0,29.5,1
840,52,1,1,0,67.38,1
841,52,1,2,0,219.27,2
842,52,1,3,1.67,334.08,9
843,52,1,4,0,153.77,4
845,52,2,1,0.09,235.33,2
846,52,2,2,0.19,85.84,1
847,52,2,3,0.67,215.49,1
848,52,2,4,1.28,304.83,2
850,52,3,1,0.01,156.7,2
851,52,3,2,0,125.25,1
852,52,3,3,0,175.31,2
853,52,3,4,1.93,54.82,1
855,52,4,1,0.25,180.64,6
856,52,4,2,0.67,325.19,7
857,52,4,3,1.86,199.82,3
858,52,4,4,0.84,174.63,3
860,53,1,1,0,74.73,4
861,53,1,2,0,362.42,8
862,53,1,3,0,82.47,5
863,53,1,4,0,120.33,3
