participant,scenario,taskId,planning_distance,navigating_distance
39,2,2.0,0.05,83.69
39,2,3.0,0.03,153.46
39,2,4.0,0.08,243.25
39,3,0.0,0.0,0.0
39,3,1.0,1.4,158.66
39,3,2.0,0.0,164.68
39,3,3.0,0.28,172.98
39,3,4.0,0.16,180.12
39,4,0.0,0.0,0.0
39,4,1.0,1.07,161.31
39,4,2.0,0.04,275.52
39,4,3.0,0.09,367.56
39,4,4.0,0.0,171.54
40,1,0.0,0.0,0.0
40,1,1.0,0.0,115.8
40,1,2.0,1.23,129.59
40,1,3.0,0.87,272.27
40,1,4.0,10.96,186.18
40,2,0.0,0.0,0.0
40,2,1.0,0.0,230.89
40,2,2.0,0.0,122.84
40,2,3.0,0.0,225.44
40,2,4.0,0.56,145.35
40,3,0.0,0.0,0.0
40,3,1.0,0.69,173.58
40,3,2.0,0.56,162.2
40,3,3.0,0.47,90.5
40,3,4.0,9.15,95.18
40,4,0.0,0.0,0.0
40,4,1.0,0.73,83.3
40,4,2.0,0.39,263.63
40,4,3.0,0.13,39.3
40,4,4.0,0.02,53.21
41,1,0.0,0.0,0.0
41,1,1.0,0.11,224.35
41,1,2.0,0.0,213.75
41,1,3.0,0.08,82.88
41,1,4.0,0.29,249.39
41,2,0.0,0.0,0.0
41,2,1.0,0.0,299.18
41,2,2.0,0.07,138.99
41,2,3.0,0.0,66.32
41,2,4.0,0.0,44.26
41,3,0.0,0.0,0.0
41,3,1.0,0.0,179.05
41,3,2.0,0.0,194.21
41,3,3.0,1.1,190.13
41,3,4.0,1.79,49.8
41,4,0.0,0.0,0.0
41,4,1.0,2.14,186.88
41,4,2.0,0.56,344.43
41,4,3.0,1.77,256.54
41,4,4.0,0.36,157.49
42,1,0.0,0.0,0.0
42,1,1.0,0.0,69.12
42,1,2.0,0.47,166.34
42,1,3.0,0.0,118.88
42,1,4.0,2.75,171.88
42,2,0.0,0.0,0.0
42,2,1.0,0.03,239.42
42,2,2.0,0.08,79.67
42,2,3.0,0.16,141.55
42,2,4.0,0.07,116.53
42,3,0.0,0.0,0.0
42,3,1.0,0.0,141.02
42,3,2.0,0.3,113.32
42,3,3.0,0.03,67.5
42,3,4.0,0.01,163.18
42,4,0.0,0.0,0.0
42,4,1.0,0.15,171.44
42,4,2.0,0.98,283.1
42,4,3.0,0.0,196.58
42,4,4.0,0.97,160.87
43,1,0.0,0.0,0.0
43,1,1.0,4.01,118.84
43,1,2.0,14.59,597.87
43,1,3.0,13.64,22.58
43,1,4.0,1.25,100.94
43,2,0.0,0.0,0.0
43,2,1.0,0.39,214.7
43,2,2.0,0.0,90.48
43,2,3.0,3.99,180.99
43,2,4.0,14.8,172.01
43,3,0.0,0.0,0.0
43,3,1.0,8.3,203.77
43,3,2.0,0.76,219.9
43,3,3.0,0.7,59.69
43,3,4.0,0.02,107.56
43,4,0.0,0.0,0.0
43,4,1.0,0.57,246.77
43,4,2.0,12.04,157.2
43,4,3.0,12.46,23.44
43,4,4.0,6.1,91.85
44,1,0.0,0.0,0.0
44,1,1.0,0.0,76.91
44,1,2.0,0.0,252.92
44,1,3.0,0.0,41.61
44,1,4.0,0.0,56.56
44,2,0.0,0.0,0.0
44,2,1.0,0.24,246.32
44,2,2.0,5.46,163.3
44,2,3.0,0.0,123.87
44,2,4.0,0.0,157.79
44,3,0.0,0.0,0.0
44,3,1.0,0.77,144.99
44,3,2.0,0.5,182.62
44,3,3.0,0.1,205.38
44,3,4.0,1.14,169.59
44,4,0.0,0.0,0.0
44,4,1.0,0.89,142.43
44,4,2.0,0.22,131.03
44,4,3.0,0.16,80.41
44,4,4.0,0.12,137.1
45,1,0.0,0.0,0.0
45,1,1.0,0.0,66.68
45,1,2.0,0.54,167.21
45,1,3.0,0.0,214.57
45,1,4.0,0.0,258.82
45,2,0.0,0.0,0.0
45,2,1.0,518.4,21.53
45,2,2.0,4.49,90.83
45,2,3.0,19.72,60.91
45,2,4.0,61.5,68.25
45,3,0.0,0.0,0.0
45,3,1.0,104.49,49.3
45,3,2.0,13.52,109.82
45,3,3.0,411.47,137.36
45,3,4.0,34.81,58.62
45,4,0.0,0.0,0.0
45,4,1.0,47.76,117.28
45,4,2.0,7.22,319.81
45,4,3.0,52.99,119.6
45,4,4.0,25.25,140.19
46,1,0.0,0.0,0.0
46,1,1.0,0.0,76.53
46,1,2.0,0.0,189.12
46,1,3.0,0.0,180.88
46,1,4.0,0.0,79.42
46,2,0.0,0.0,0.0
46,2,1.0,0.0,192.57
46,2,2.0,0.0,74.01
46,2,3.0,0.0,203.27
46,2,4.0,0.0,153.32
46,3,0.0,0.0,0.0
46,3,1.0,1.14,194.86
46,3,2.0,0.02,161.88
46,3,3.0,0.08,58.22
46,3,4.0,0.11,113.2
46,4,0.0,0.0,0.0
46,4,1.0,1.07,247.57
46,4,2.0,0.97,470.18
46,4,3.0,0.05,206.74
46,4,4.0,0.91,168.27
47,1,0.0,0.0,0.0
47,1,1.0,0.0,115.21
47,1,2.0,0.0,133.43
47,1,3.0,0.45,259.72
47,1,4.0,0.0,150.89
47,2,0.0,0.0,0.0
47,2,1.0,0.0,264.86
47,2,2.0,0.0,185.34
47,2,3.0,0.0,68.1
47,2,4.0,0.0,98.65
47,3,0.0,0.0,0.0
47,3,1.0,3.71,143.52
47,3,2.0,0.0,209.12
47,3,3.0,0.02,202.44
47,3,4.0,0.0,45.04
47,4,0.0,0.0,0.0
47,4,1.0,1.86,127.34
47,4,2.0,0.03,130.44
47,4,3.0,0.0,94.1
47,4,4.0,0.01,137.13
48,1,0.0,0.0,0.0
48,1,1.0,0.05,213.32
48,1,2.0,0.0,312.15
48,1,3.0,0.03,88.64
48,1,4.0,0.0,158.87
48,2,0.0,0.0,0.0
48,2,1.0,0.0,259.39
48,2,2.0,0.15,525.55
48,2,3.0,0.0,167.16
48,2,4.0,0.0,172.96
48,3,0.0,0.0,0.0
48,3,1.0,0.0,156.23
48,3,2.0,0.16,112.8
48,3,3.0,0.0,68.43
48,3,4.0,0.98,277.26
48,4,0.0,0.0,0.0
48,4,1.0,0.32,62.85
48,4,2.0,0.4,370.47
48,4,3.0,0.0,43.42
48,4,4.0,2.96,173.53
49,1,0.0,0.0,0.0
49,1,1.0,0.0,143.08
49,1,2.0,0.0,126.64
49,1,3.0,0.0,249.03
49,1,4.0,0.76,148.32
49,2,0.0,0.0,0.0
49,2,1.0,0.0,196.93
49,2,2.0,0.0,75.42
49,2,3.0,0.0,252.13
49,2,4.0,0.0,170.59
49,3,0.0,0.0,0.0
49,3,1.0,0.0,146.21
49,3,2.0,0.13,276.1
49,3,3.0,0.1,78.91
49,3,4.0,0.52,191.17
49,4,0.0,0.0,0.0
49,4,1.0,0.24,186.69
49,4,2.0,0.0,132.48
49,4,3.0,0.05,101.61
49,4,4.0,229.74,0.51
50,1,0.0,0.0,0.0
50,1,1.0,0.0,80.21
50,1,2.0,0.0,192.83
50,1,3.0,0.0,190.73
50,1,4.0,0.31,235.34
50,2,0.0,0.0,0.0
50,2,1.0,0.0,303.63
50,2,2.0,0.72,212.57
50,2,3.0,0.0,164.09
50,2,4.0,0.0,168.79
50,3,0.0,0.0,0.0
50,3,1.0,0.62,144.62
50,3,2.0,0.0,185.67
50,3,3.0,0.0,206.1
50,3,4.0,2.29,49.88
50,4,0.0,0.0,0.0
50,4,1.0,74.94,51.55
50,4,2.0,0.04,126.63
50,4,3.0,0.03,95.25
50,4,4.0,0.01,139.3
51,1,0.0,0.0,0.0
51,1,1.0,0.06,199.17
51,1,2.0,0.0,239.12
51,1,3.0,0.01,85.96
51,1,4.0,1.43,247.45
51,2,0.0,0.0,0.0
51,2,1.0,0.0,365.96
51,2,2.0,1.08,387.65
51,2,3.0,2.56,212.29
51,2,4.0,0.18,321.49
51,3,0.0,0.0,0.0
51,3,1.0,2.74,482.56
51,3,2.0,0.54,250.04
51,3,3.0,0.0,71.33
51,3,4.0,0.42,365.6
51,4,0.0,0.0,0.0
51,4,1.0,1.44,118.35
51,4,2.0,0.58,87.91
51,4,3.0,0.05,322.98
51,4,4.0,0.0,29.5
52,1,0.0,0.0,0.0
52,1,1.0,0.0,67.38
52,1,2.0,0.0,219.27
52,1,3.0,1.67,334.08
52,1,4.0,0.0,153.77
52,2,0.0,0.0,0.0
52,2,1.0,0.09,235.33
52,2,2.0,0.19,85.84
52,2,3.0,0.67,215.49
52,2,4.0,1.28,304.83
52,3,0.0,0.0,0.0
52,3,1.0,0.01,156.7
52,3,2.0,0.0,125.25
52,3,3.0,0.0,175.31
52,3,4.0,1.93,54.82
52,4,0.0,0.0,0.0
52,4,1.0,0.25,180.64
52,4,2.0,0.67,325.19
52,4,3.0,1.86,199.82
52,4,4.0,0.84,174.63
53,1,0.0,0.0,0.0
53,1,1.0,0.0,74.73
53,1,2.0,0.0,362.42
53,1,3.0,0.0,82.47
53,1,4.0,0.0,120.33
53,2,0.0,0.0,0.0
53,2,1.0,0.0,249.97
53,2,2.0,0.63,175.71
