"","id","scenario_id","action_type_re","t_id","p_desc","task_time","count_task_phases","task_phase_time_sum","phase_perc"
"1052","44","4","set_navigation",3,"navigating",67.1760001182556,1,54.4930000305176,0.811197450497037
"1053","44","4","task_accepted",4,"planning",107.401999950409,1,14.7479999065399,0.137315877854691
"1054","44","4","set_navigation",4,"navigating",107.401999950409,1,92.654000043869,0.862684122145309
"1055","45","1","task_accepted",1,"planning",42.5460000038147,1,8.07400012016296,0.189771074118344
"1056","45","1","set_navigation",1,"navigating",42.5460000038147,1,34.4719998836517,0.810228925881656
"1057","45","1","task_accepted",2,"planning",71.3780000209808,1,5.28699994087219,0.0740704410226979
"1058","45","1","set_navigation",2,"navigating",71.3780000209808,1,66.0910000801086,0.925929558977302
"1059","45","1","task_accepted",3,"planning",89.657999753952,1,9.90999984741211,0.110531128004284
"1060","45","1","set_navigation",3,"navigating",89.657999753952,1,79.7479999065399,0.889468871995716
"1061","45","1","task_accepted",4,"planning",109.979000091553,1,6.42199993133545,0.0583929652569074
"1062","45","1","set_navigation",4,"navigating",109.979000091553,1,103.557000160217,0.941607034743093
"1063","45","2","task_accepted",1,"planning",216.976999998093,1,208.898999929428,0.96277024722097
"1064","45","2","set_navigation",1,"navigating",216.976999998093,1,8.07800006866455,0.0372297527790299
"1065","45","2","task_accepted",2,"planning",42.5780000686646,1,3.99200010299683,0.0937573417389032
"1066","45","2","set_navigation",2,"navigating",42.5780000686646,1,38.5859999656677,0.906242658261097
"1067","45","2","task_accepted",3,"planning",31.4049999713898,1,9.45999979972839,0.301225913336938
"1068","45","2","set_navigation",3,"navigating",31.4049999713898,1,21.9450001716614,0.698774086663062
"1069","45","2","task_accepted",4,"planning",48.8759999275208,1,23.8389999866486,0.487744496726408
"1070","45","2","set_navigation",4,"navigating",48.8759999275208,1,25.0369999408722,0.512255503273592
"1071","45","3","task_accepted",1,"planning",68.5859999656677,1,47.2949998378754,0.689572213885486
"1072","45","3","set_navigation",1,"navigating",68.5859999656677,1,21.2910001277924,0.310427786114514
"1073","45","3","task_accepted",2,"planning",65.0910000801086,1,22.6150000095367,0.347436665310167
"1074","45","3","set_navigation",2,"navigating",65.0910000801086,1,42.4760000705719,0.652563334689833
"1075","45","3","task_accepted",3,"planning",232.117000102997,2,153.140000104904,0.659753486547524
"1076","45","3","set_navigation_wrong",3,"navigating",232.117000102997,2,78.9769999980927,0.340246513452476
"1077","45","3","task_accepted",4,"planning",48.3630001544952,1,25.8910000324249,0.535347268567217
"1078","45","3","set_navigation",4,"navigating",48.3630001544952,1,22.4720001220703,0.464652731432783
"1079","45","4","task_accepted",1,"planning",71.8200001716614,1,21.4080002307892,0.29807853215846
"1080","45","4","set_navigation",1,"navigating",71.8200001716614,1,50.4119999408722,0.70192146784154
"1081","45","4","task_accepted",2,"planning",133.561000108719,1,3.23800015449524,0.0242436051830961
"1082","45","4","set_navigation",2,"navigating",133.561000108719,1,130.322999954224,0.975756394816904
"1083","45","4","task_accepted",3,"planning",78.2259995937347,1,25.5649998188019,0.326809500058462
"1084","45","4","set_navigation",3,"navigating",78.2259995937347,1,52.6609997749329,0.673190499941538
"1085","45","4","task_accepted",4,"planning",64.960000038147,1,9.48200011253357,0.145966750415107
"1086","45","4","set_navigation",4,"navigating",64.960000038147,1,55.4779999256134,0.854033249584893
"1087","46","1","task_accepted",1,"planning",37.6610000133514,1,5.31399989128113,0.141100870645953
"1088","46","1","set_navigation",1,"navigating",37.6610000133514,1,32.3470001220703,0.858899129354047
"1089","46","1","task_accepted",2,"planning",91.3919999599457,1,9.52300000190735,0.104199492363456
"1090","46","1","set_navigation",2,"navigating",91.3919999599457,1,81.8689999580383,0.895800507636544
"1091","46","1","task_accepted",3,"planning",81.8440001010895,1,7.13299989700317,0.0871536079394074
"1092","46","1","set_navigation",3,"navigating",81.8440001010895,1,74.7110002040863,0.912846392060593
"1093","46","1","task_accepted",4,"planning",34.375,1,2.16799998283386,0.0630690904097124
"1094","46","1","set_navigation",4,"navigating",34.375,1,32.2070000171661,0.936930909590288
"1095","46","2","task_accepted",1,"planning",87.337000131607,1,6.53600001335144,0.0748365527039218
"1096","46","2","set_navigation",1,"navigating",87.337000131607,1,80.8010001182556,0.925163447296078
"1097","46","2","task_accepted",2,"planning",44.944000005722,1,8.43099999427795,0.187588999492804
"1098","46","2","set_navigation",2,"navigating",44.944000005722,1,36.5130000114441,0.812411000507197
"1099","46","2","task_accepted",3,"planning",150.313000202179,1,8.71200013160706,0.0579590595616411
"1100","46","2","set_navigation",3,"navigating",150.313000202179,1,141.601000070572,0.942040940438359
"1101","46","2","task_accepted",4,"planning",70.4249997138977,1,4.52099990844727,0.0641959521024334
"1102","46","2","set_navigation",4,"navigating",70.4249997138977,1,65.9039998054504,0.935804047897567
"1103","46","3","task_accepted",1,"planning",100.657999992371,1,8.67300009727478,0.0861630481226743
"1104","46","3","set_navigation",1,"navigating",100.657999992371,1,91.9849998950958,0.913836951877326
"1105","46","3","task_accepted",2,"planning",86.4629998207092,1,7.68400001525879,0.0888703842243784
"1106","46","3","set_navigation",2,"navigating",86.4629998207092,1,78.7789998054504,0.911129615775622
"1107","46","3","task_accepted",3,"planning",47.6970000267029,1,4.37800002098083,0.0917877438524402
"1108","46","3","set_navigation",3,"navigating",47.6970000267029,1,43.319000005722,0.90821225614756
"1109","46","3","task_accepted",4,"planning",58.481999874115,1,3.12899994850159,0.0535036413808846
"1110","46","3","set_navigation",4,"navigating",58.481999874115,1,55.3529999256134,0.946496358619115
"1111","46","4","task_accepted",1,"planning",176.173000097275,1,6.16500020027161,0.0349940126856418
"1112","46","4","set_navigation",1,"navigating",176.173000097275,1,170.007999897003,0.965005987314358
"1113","46","4","task_accepted",2,"planning",241.963000059128,1,9.85199999809265,0.0407169691055457
"1114","46","4","set_navigation",2,"navigating",241.963000059128,1,232.111000061035,0.959283030894454
"1115","46","4","task_accepted",3,"planning",91.8329999446869,1,4.16299986839294,0.0453322865516798
"1116","46","4","set_navigation",3,"navigating",91.8329999446869,1,87.670000076294,0.95466771344832
"1117","46","4","task_accepted",4,"planning",79.3309998512268,1,2.19899988174438,0.0277193012298884
"1118","46","4","set_navigation",4,"navigating",79.3309998512268,1,77.1319999694824,0.972280698770112
"1119","47","1","task_accepted",1,"planning",51.5999999046326,1,5.21799993515015,0.10112402993787
"1120","47","1","set_navigation",1,"navigating",51.5999999046326,1,46.3819999694824,0.89887597006213
"1121","47","1","task_accepted",2,"planning",64.2720000743866,1,4.36100006103516,0.0678522537961765
"1122","47","1","set_navigation",2,"navigating",64.2720000743866,1,59.9110000133514,0.932147746203823
"1123","47","1","task_accepted",3,"planning",110.005999803543,1,5.82699990272522,0.0529698372191654
"1124","47","1","set_navigation",3,"navigating",110.005999803543,1,104.178999900818,0.947030162780835
"1125","47","1","task_accepted",4,"planning",61.1679999828339,1,3.45899987220764,0.0565491739664264
